name	count
IWETA	84
BRIGITTE	83
CORNELIA	83
MARGOTA	83
ADOLFA	83
LORENA	83
LILI	83
IWA	83
IRIS	83
EMILIE	82
NELL	82
MIRONA	82
LAILA	82
CARLA	82
VIVIEN	81
SUZANNE	81
BERNADETTE	81
INA	81
GABRIELLE	80
RENA	80
YAEL	80
ASHLEY	80
KAMA	80
TADEUSZA	80
MARION	80
KATARINA	79
NELLA	79
DOROTHY	79
SAMIRA	78
KLARYSA	78
SYLWANA	78
ZYGFRYDA	78
NIKOLETA	78
TELIMENA	77
DINA	77
MAURA	77
KATRIN	77
LUDGARDA	77
KATHLEEN	76
MAŁGORZTA	76
ELISE	76
MAI	76
NADINE	75
LUBOMIŁA	74
HENRIETA	74
ARLENA	74
LORETTA	74
MARIAM	74
DOROTHEA	74
DANIELLE	74
KASIA	74
FERNANDA	74
CHELSEA	74
SUSANNE	73
MEGAN	73
SOL	73
BERNADYNA	73
VALERIA	73
GERTRUD	73
EVELYN	72
HORTENSJA	72
WIEŃCZYSŁAWA	72
GEORGINA	71
HERONIMA	71
LAN	71
BIRUTA	70
WALTRAUD	70
HIACENTA	70
FLORIANA	70
BERNARDETTA	70
NATASHA	70
GRACIELA	69
ALBERTA	69
JEANNE	69
MARIANNE	69
INEZA	69
RENATE	68
VIVIANA	68
JULIETTA	68
MARYNA	68
MARGERITA	67
ZOSIA	67
VANESA	67
CYNTIA	66
MARIIA	66
KIM	66
BEATRICE	66
STEFANIE	66
FRANZISKA	66
KESJA	65
AVA	65
GRAZYNA	65
BEATE	64
FIONA	64
RAJMUNDA	64
ANDŻELA	64
KIARA	63
BRIGIDA	63
DIANE	63
JUTTA	63
MADELEINE	63
SCARLETT	63
KOLETA	62
FORTUNATA	62
JUTA	62
KAMELIA	61
SZCZĘSNA	61
ELIANA	61
XYMENA	61
NORA	61
DAMARIS	61
CAMILLE	60
CAMILLA	60
DOMINIQUE	60
INGRYDA	60
LAYLA	60
LEAH	60
ROZANNA	60
LYDIA	60
MARIANA	60
ARIANNA	59
NIKOLINA	59
LOUISA	59
STANISLAWA	59
WITA	59
ELIGIA	58
JOANNE	58
ZYGMUNTA	58
WITOLDA	58
LINA	57
